SUBZONE_C,PLANNING A,SUBZONE_NA,1_AND_2_RO,3_ROOM_FLA,4_ROOM_FLA,5_ROOM_AND,TOTAL_HDB,CONDOMINIU,LANDED_PROP,TOTAL,X_COORDINA,Y_COORDINA,SHAPE_Leng,SHAPE_Area
SBSZ05,Sembawang,Admiralty,1230,780,5910,6590,14500,0,0,14500,27091.2755,48333.8005,4534.251888,1261648.748
PLSZ04,Paya Lebar,Airport Road,0,0,0,0,0,0,0,0,35133.3154,37075.3184,3433.884804,494504.0681
BMSZ07,Bukit Merah,Alexandra Hill,4690,2740,4110,3320,14860,0,0,14860,25358.8208,29991.3842,4428.913436,1030378.786
BMSZ06,Bukit Merah,Alexandra North,0,0,0,0,0,1030,0,1030,26548.2507,30519.3922,2907.051461,293706.3988
GLSZ04,Geylang,Aljunied,2340,10290,9720,6770,29120,10110,550,39780,33592.5759,32970.8301,7100.699079,2959367.625
BTSZ01,Bukit Timah,Anak Bukit,130,50,2210,3290,5680,8450,7610,21740,21127.1918,35561.884,7637.809479,2768353.557
SESZ04,Sengkang,Anchorvale,1380,1090,14400,22300,39170,0,0,39170,34218.5354,41815.316,5112.461787,1499108.626
AMSZ01,Ang Mo Kio,Ang Mo Kio Town Centre,0,450,700,2000,3150,1800,0,4950,29501.7659,39419.4049,2642.208777,316882.0172
DTSZ10,Downtown Core,Anson,0,0,0,0,0,0,0,0,29145.35,28466.7783,1586.100059,103238.4821
NVSZ01,Novena,Balestier,2100,7710,6420,4930,21160,9310,530,31000,29975.2639,34194.0676,6804.341011,1926622.002
BPSZ04,Bukit Panjang,Bangkit,0,3020,13030,5770,21820,1330,0,23150,21431.2286,39899.5272,4350.135722,763183.4294
DTSZ12,Downtown Core,Bayfront Subzone,0,0,0,0,0,0,0,0,30806.2418,29530.167,2897.126426,521200.5224
BDSZ08,Bedok,Bayshore,0,0,0,0,0,6780,440,7220,40835.377,32903.5965,8698.596958,2550461.673
BDSZ04,Bedok,Bedok North,4040,33600,25900,11130,74660,4600,4590,83850,39429.2104,34737.6194,8414.962102,3203663.493
BDSZ02,Bedok,Bedok Reservoir,0,3150,9030,6620,18810,7140,30,25980,38351.1166,35800.6076,6899.5259,2379331.529
BDSZ06,Bedok,Bedok South,1740,9350,13700,7280,32060,5560,11780,49400,40379.4208,33744.2238,7811.589025,2997307.459
RCSZ09,Rochor,Bencoolen,40,900,140,0,1080,310,0,1390,29999.0626,31594.594,1916.097548,170664.3045
KLSZ01,Kallang,Bendemeer,1700,9040,11630,6170,28530,4210,660,33400,31175.9571,33827.9445,5603.000911,1376830.045
PNSZ03,Pioneer,Benoi Sector,0,0,0,0,0,0,0,0,11668.2441,33336.5267,6249.477068,2042630.98
TPSZ10,Toa Payoh,Bidadari,0,0,0,0,0,0,0,0,32632.5394,35918.015,3323.742838,572502.1398
BSSZ03,Bishan,Bishan East,290,2020,11700,12820,26830,1750,0,28580,30191.9092,36882.1939,5680.719402,1794461.262
SRSZ03,Singapore River,Boat Quay,0,0,0,0,0,100,0,100,29654.9594,29974.6553,1740.925766,160807.4977
KLSZ03,Kallang,Boon Keng,1040,2420,4480,2610,10560,50,140,10750,32338.3212,33018.7607,2972.111045,410994.5447
JWSZ02,Jurong West,Boon Lay Place,4590,15170,4820,5150,29740,1250,0,30990,14403.7788,36444.6275,3708.366281,906317.3907
TPSZ04,Toa Payoh,Boon Teck,5390,4120,1280,3710,14500,0,0,14500,30193.1349,35272.7474,2626.136593,418657.3583
ORSZ02,Orchard,Boulevard,0,0,0,0,0,350,0,350,27916.9271,31967.0064,4109.23135,460550.4298
TPSZ03,Toa Payoh,Braddell,1690,3120,1990,2700,9510,1040,0,10550,29811.6006,35855.51,3513.756935,446241.7919
MUSZ03,Museum,Bras Basah,0,0,0,0,0,0,0,0,29793.0931,30958.0952,2348.657173,223206.6032
BKSZ03,Bukit Batok,Brickworks,0,0,0,0,0,0,0,0,17861.6364,37527.3344,4392.362215,1225673.649
DTSZ01,Downtown Core,Bugis,0,1110,970,10,2100,20,0,2120,30528.3347,31278.4644,2658.881648,280174.7667
BKSZ07,Bukit Batok,Bukit Batok Central,1310,4110,11280,7540,24250,1420,0,25670,18773.5578,36680.0524,3782.826959,800298.5645
BKSZ08,Bukit Batok,Bukit Batok East,0,6370,5470,2280,14120,0,0,14120,19566.3613,36806.3015,2619.552372,380201.8028
BKSZ09,Bukit Batok,Bukit Batok South,0,0,6170,5640,11810,1220,680,13710,19631.873,35910.9635,6998.805924,1806553.076
BKSZ06,Bukit Batok,Bukit Batok West,0,5460,5980,3440,14880,0,0,14880,17865.8838,36623.2134,3414.799428,526383.3528
BMSZ09,Bukit Merah,Bukit Ho Swee,4080,6010,3390,1950,15430,510,0,15940,27680.0627,30230.861,3275.312488,551732.0495
BMSZ02,Bukit Merah,Bukit Merah,0,150,10,930,1100,0,0,1100,26360.799,29384.1429,3074.963235,411722.8226
NTSZ04,Newton,Cairnhill,0,0,0,0,0,2860,430,3290,28482.6672,32108.1919,3853.900423,452471.8318
DTSZ08,Downtown Core,Cecil,0,0,0,0,0,140,0,140,29730.1983,29011.3284,2116.094667,196619.8632
DTSZ11,Downtown Core,Central Subzone,0,0,0,0,0,530,0,530,30125.8367,28683.0399,5002.016151,1070723.256
CCSZ01,Central Water Catchment,Central Water Catchment,0,0,0,0,0,0,0,0,24424.4183,39849.0456,30538.24618,37147854.46
CHSZ03,Changi,Changi Airport,0,0,0,0,0,0,0,0,46661.849,36599.8158,28163.22827,35096028.59
CBSZ01,Changi Bay,Changi Bay,0,0,0,0,0,0,0,0,49502.4866,34316.5442,18731.55997,1829821.69
CHSZ01,Changi,Changi Point,0,440,0,10,440,0,160,600,44603.6326,41360.4186,4897.482363,995944.7654
CHSZ02,Changi,Changi West,0,0,0,0,0,30,230,260,44092.338,38928.6585,14918.10822,4848516.74
TNSZ02,Tanglin,Chatsworth,0,0,0,0,0,4920,980,5900,26896.4019,31045.0187,5469.441095,1346152.777
AMSZ02,Ang Mo Kio,Cheng San,840,14320,8500,5250,28900,0,0,28900,30312.1923,39413.3478,4218.958062,955710.1887
JWSZ05,Jurong West,Chin Bee,0,0,0,0,0,0,0,0,14631.8059,35240.9703,4899.033957,1287949.825
OTSZ04,Outram,China Square,0,1400,0,70,1470,50,0,1520,29509.6437,29646.4495,1605.279697,133006.936
OTSZ03,Outram,Chinatown,1140,2830,4850,2110,10930,370,0,11300,29153.9676,29158.0443,4297.59991,587222.6789
CKSZ03,Choa Chu Kang,Choa Chu Kang Central,0,0,8700,6350,15050,6830,0,21880,18465.672,40772.9207,4202.496608,1097298.799
CKSZ05,Choa Chu Kang,Choa Chu Kang North,1690,590,9640,17330,29250,2470,2260,33980,18347.5682,41593.7648,4552.314746,1088638.014
AMSZ03,Ang Mo Kio,Chong Boon,1790,13180,8530,3410,26910,0,0,26910,30485.5109,38478.993,4710.53873,1078622.324
DTSZ02,Downtown Core,City Hall,0,0,0,0,0,0,0,0,30209.0736,30536.5079,4544.169847,710568.7029
BMSZ17,Bukit Merah,City Terminals,0,0,0,0,0,0,0,0,28387.3388,27536.5671,16805.6555,3449640.607
SRSZ02,Singapore River,Clarke Quay,0,0,0,0,0,40,0,40,29253.2073,30222.8645,2208.619299,290184.6527
CLSZ06,Clementi,Clementi Central,0,4470,5180,1120,10780,1230,950,12960,20183.4496,32707.5394,3630.189223,748043.2767
CLSZ04,Clementi,Clementi North,1220,12540,10420,4550,28720,0,0,28720,20613.245,33368.8225,4251.445365,991039.7807
CLSZ08,Clementi,Clementi West,0,8070,4220,1250,13540,2590,240,16370,20184.3508,31651.8834,5211.867528,697501.7143
CLSZ07,Clementi,Clementi Woods,1510,3040,5670,3250,13460,2100,300,15860,20764.198,31824.7421,5275.74936,1053493.747
DTSZ06,Downtown Core,Clifford Pier,0,0,0,0,0,0,0,0,30379.5041,29776.4334,2405.990925,261843.8968
QTSZ03,Queenstown,Commonwealth,1860,5770,270,0,7910,0,0,7910,24278.7709,31919.97,2713.429971,310513.6474
SESZ05,Sengkang,Compassvale,330,390,12640,1900,15260,3400,0,18660,34304.2505,40761.0908,5216.01738,1093213.491
PGSZ07,Punggol,Coney Island,0,0,0,0,0,0,0,0,37928.4976,43351.3743,5670.137057,1200804.563
BTSZ06,Bukit Timah,Coronation Road,0,0,0,0,0,1970,4020,5990,24463.149,34200.3339,5905.904193,1425083.177
KLSZ09,Kallang,Crawford,4780,2610,830,760,8980,510,0,9490,31396.8906,31457.287,4634.784296,850853.9138
BPSZ06,Bukit Panjang,Dairy Farm,0,0,0,0,0,3750,2030,5780,21181.12,38939.8375,4814.195375,1235901.752
HGSZ09,Hougang,Defu Industrial Park,0,0,0,0,0,0,0,0,34951.3961,37089.433,8517.596169,1974371.712
BMSZ12,Bukit Merah,Depot Road,0,0,1720,2200,3920,1420,0,5340,25244.2071,29407.094,4281.172681,442502.8276
MUSZ01,Museum,Dhoby Ghaut,0,0,0,0,0,210,0,210,29320.0735,31245.7483,2584.78831,221973.3418
QTSZ10,Queenstown,Dover,490,2920,3590,3020,10020,2380,40,12440,22015.5324,31800.5247,5637.722008,1386643.316
NVSZ04,Novena,Dunearn,0,0,0,0,0,830,3070,3900,26525.5278,34268.8547,4827.408264,1229894.417
MPSZ04,Marine Parade,East Coast,0,0,0,0,0,0,0,0,36386.5261,31338.9016,5333.008671,591778.9997
BMSZ16,Bukit Merah,Everton Park,610,2010,2230,3480,8330,440,200,8970,28333.5771,28602.9926,3776.683388,635704.0567
CLSZ03,Clementi,Faber,0,0,0,0,0,2700,1530,4230,19489.6559,33800.8662,4665.755981,948158.9135
BPSZ03,Bukit Panjang,Fajar,520,1970,14110,11960,28550,0,0,28550,21080.9573,40748.0926,3800.608941,668454.4393
BTSZ08,Bukit Timah,Farrer Court,0,980,550,320,1850,2770,900,5520,24862.8217,33234.7951,4192.289528,558760.5316
RCSZ01,Rochor,Farrer Park,0,320,1920,430,2670,80,30,2780,30093.4152,32386.2107,2540.960363,247887.633
SESZ06,Sengkang,Fernvale,2650,5880,24230,9320,42070,1040,1100,44210,32806.2915,41896.3685,6491.767944,2391082.765
PRSZ08,Pasir Ris,Flora Drive,0,0,0,0,0,10230,3370,13600,42801.7349,37930.5489,3956.615777,944998.4489
MUSZ02,Museum,Fort Canning,0,0,0,0,0,160,0,160,29413.9718,30713.0723,2585.229404,385093.1134
BDSZ05,Bedok,Frankel,40,0,0,0,40,13980,19050,33070,37694.5519,33007.2679,8750.386291,4297140.714
SKSZ03,Sungei Kadut,Gali Batu,0,0,0,0,0,0,0,0,20165.0687,42429.2408,9036.682771,5186128.077
KLSZ02,Kallang,Geylang Bahru,1310,7660,1460,2110,12540,0,0,12540,32110.0626,33765.6746,3745.034017,735502.2264
GLSZ05,Geylang,Geylang East,2270,6960,7330,4140,20690,7350,4190,32230,35237.1681,33246.0587,7028.340071,2579087.17
QTSZ01,Queenstown,Ghim Moh,1980,4690,2810,2260,11750,0,0,11750,22899.1897,32579.9353,3223.645504,485046.9227
BKSZ01,Bukit Batok,Gombak,0,0,4000,2760,6760,340,2750,9850,19560.7028,39034.544,7921.557211,2459098.265
NTSZ02,Newton,Goodwood Park,0,0,0,0,0,850,80,930,28108.8807,32875.267,2798.598501,351242.2536
WDSZ07,Woodlands,Greenwood Park,0,0,0,0,0,0,0,0,22608.3894,47660.0645,4620.865567,1281296.51
BKSZ04,Bukit Batok,Guilin,0,3580,2360,2360,8300,4780,0,13080,19151.8276,37505.9793,5564.333231,1085080.083
PNSZ04,Pioneer,Gul Basin,0,0,0,0,0,0,0,0,10327.4233,31746.7616,9465.222183,1769495.161
PNSZ02,Pioneer,Gul Circle,0,0,0,0,0,0,0,0,9693.9712,33074.429,7268.450752,3260399.459
BMSZ08,Bukit Merah,Henderson Hill,4570,3910,2580,950,12010,190,0,12200,26782.8261,29933.7651,3313.624904,595428.886
BTSZ05,Bukit Timah,Hillcrest,0,0,0,0,0,3670,5120,8790,25207.8426,35039.2942,7428.700261,2636483.259
BKSZ05,Bukit Batok,Hillview,0,0,0,0,0,15830,2270,18100,20276.6529,37526.4582,6673.934004,1990788.397
QTSZ02,Queenstown,Holland Drive,650,6220,4610,2460,13930,0,10,13940,23711.437,32294.7721,3420.329337,459546.2858
BTSZ03,Bukit Timah,Holland Road,0,0,0,0,0,6030,4170,10200,22485.0193,34364.2896,8185.197323,3392897.364
JWSZ03,Jurong West,Hong Kah,640,12610,25580,13990,52820,2940,0,55760,15507.9346,36890.281,5589.784561,1793463.631
BKSZ02,Bukit Batok,Hong Kah North,150,7940,13830,4430,26340,1280,0,27620,18505.4653,38307.4684,3842.99403,859179.1801
HGSZ01,Hougang,Hougang Central,0,80,1520,2160,3770,30,890,4690,34470.7005,39076.5963,2759.815466,441733.4402
HGSZ03,Hougang,Hougang East,0,1430,13580,7560,22560,170,0,22730,35128.0008,39812.3857,3960.446862,842667.6261
HGSZ04,Hougang,Hougang West,0,8630,27030,12630,48290,0,0,48290,33849.2205,39506.8724,6424.482139,1328876.198
RVSZ05,River Valley,Institution Hill,0,0,0,0,0,3310,40,3350,28465.3999,30711.2179,2842.525505,392563.3398
JESZ06,Jurong East,International Business Park,0,0,0,0,0,0,0,0,18514.5995,34285.7972,3024.275837,485022.3064
NTSZ06,Newton,Istana Negara,0,0,0,0,0,0,0,0,29226.8284,31963.2894,3730.341054,543483.681
BPSZ05,Bukit Panjang,Jelebu,0,4130,10550,11380,26060,5980,650,32690,20535.3901,39769.4445,3992.426031,911208.285
PNSZ01,Pioneer,Joo Koon,0,0,0,0,0,0,0,0,10883.9466,34203.6959,8601.202816,2349378.266
TPSZ12,Toa Payoh,Joo Seng,0,910,1870,1950,4730,360,1430,6520,33454.069,35419.7276,4254.531333,1057165.244
JESZ05,Jurong East,Jurong Gateway,0,0,0,0,0,0,0,0,17912.9778,35033.9061,3096.98411,554623.6757
WISZ01,Western Islands,Jurong Island And Bukom,0,0,0,0,0,0,0,0,13012.8805,27225.8674,68083.93647,36707720.92
JESZ09,Jurong East,Jurong Port,0,0,0,0,0,0,0,0,15250.7433,32183.916,11355.00222,2464856.701
JESZ07,Jurong East,Jurong River,0,0,0,0,0,0,0,0,16367.556,33519.9926,6612.903231,2560995.937
JWSZ09,Jurong West,Jurong West Central,20,100,25310,40840,66270,1140,0,67410,13396.6261,35811.7261,4649.79715,1404536.643
BDSZ01,Bedok,Kaki Bukit,470,6560,16050,15540,38610,500,710,39820,36485.3951,35307.0408,8153.888135,2820171.679
KLSZ08,Kallang,Kallang Bahru,0,0,0,0,0,0,0,0,31579.2889,32929.5276,3710.904602,839488.9772
GLSZ01,Geylang,Kallang Way,0,0,0,0,0,0,0,0,32761.4923,34229.7192,4055.202723,963198.8794
KLSZ04,Kallang,Kampong Bugis,0,0,620,130,750,100,0,850,32138.2216,32275.6907,4018.127622,741437.9922
RCSZ05,Rochor,Kampong Glam,0,0,0,0,0,20,0,20,30934.989,31623.1483,1681.626995,171334.392
KLSZ07,Kallang,Kampong Java,400,1930,3780,1660,7770,2550,630,10950,29891.5311,32888.5297,4344.612171,1022292.301
BMSZ11,Bukit Merah,Kampong Tiong Bahru,2330,4490,2010,1250,10080,0,0,10080,27335.8305,28979.7731,3304.060465,365333.4262
GLSZ03,Geylang,Kampong Ubi,0,1110,9520,2110,12740,0,0,12740,35039.5495,34647.2633,5573.532918,1878092.478
HGSZ02,Hougang,Kangkar,1100,5330,8840,4660,19940,8340,380,28660,35222.4409,39071.3399,5617.430811,1007410.002
MPSZ02,Marine Parade,Katong,0,0,0,0,0,4970,4260,9230,35680.9007,32176.3506,5062.814851,1078992.025
CKSZ02,Choa Chu Kang,Keat Hong,120,490,10100,6040,16750,2080,250,19080,18333.674,39720.6197,4680.783291,1143813.675
AMSZ06,Ang Mo Kio,Kebun Bahru,1860,11420,6290,2290,21860,0,1170,23030,28700.1674,39496.5061,4288.194231,1046417
BDSZ03,Bedok,Kembangan,3610,7840,6260,7350,25060,5000,8360,38420,37158.7015,34115.9683,6785.111707,2387277.532
QTSZ12,Queenstown,Kent Ridge,0,0,0,0,0,930,70,1000,23464.8409,29725.3706,7439.547656,1826848.561
YSSZ08,Yishun,Khatib,0,1760,4560,4250,10560,0,0,10560,27480.6357,44420.6884,4956.145735,1432913.062
JWSZ06,Jurong West,Kian Teck,0,0,0,0,0,0,0,0,12929.7451,34857.7532,8830.555258,2098176.496
TPSZ07,Toa Payoh,Kim Keat,230,3440,2740,2130,8540,0,0,8540,30817.6061,34898.8968,2500.852271,369770.5632
HGSZ06,Hougang,Kovan,0,760,2460,1060,4290,9390,12050,25730,33270.7913,38331.4768,5644.28775,1948613.205
SKSZ01,Sungei Kadut,Kranji,0,0,0,0,0,0,0,0,19766.8432,46226.3545,7899.952343,3652031.033
JESZ04,Jurong East,Lakeside,0,0,0,0,0,950,0,950,16697.0118,35114.9062,8828.63383,3108023.274
KLSZ06,Kallang,Lavender,2730,1320,1650,960,6670,2970,40,9680,30874.4064,32569.5264,3609.150463,757907.6111
BTSZ07,Bukit Timah,Leedon Park,0,0,0,0,0,2330,4010,6340,23947.764,33247.6811,7565.170053,2049551.25
RVSZ03,River Valley,Leonie Hill,0,0,0,0,0,2460,40,2500,28082.9397,31145.1079,2676.352563,368482.9883
LKSZ01,Lim Chu Kang,Lim Chu Kang,0,0,0,0,0,0,0,0,15309.8168,45819.0414,18733.83625,17494884.18
RCSZ02,Rochor,Little India,0,1360,1630,270,3250,50,40,3340,30307.5102,32122.9908,2203.280258,278303.5433
BLSZ02,Boon Lay,Liu Fang,0,0,0,0,0,0,0,0,14079.1004,33391.5623,7135.442501,2338909.489
TPSZ05,Toa Payoh,Lorong 8 Toa Payoh,500,2300,3150,2010,7960,0,0,7960,30646.8429,35893.1126,3271.271192,439646.7616
HGSZ07,Hougang,Lorong Ah Soo,0,8610,10720,7230,26560,2990,3620,33170,33930.3169,37657.026,5438.211022,1515533.891
SGSZ05,Serangoon,Lorong Chuan,0,0,0,0,0,3990,4230,8220,31327.7628,36732.6316,5440.347324,1180126.112
HGSZ10,Hougang,Lorong Halus,0,0,0,0,0,0,0,0,35870.2568,39071.4384,5788.960001,1333532.986
SESZ01,Sengkang,Lorong Halus North,0,0,0,0,0,0,0,0,36619.2153,40404.6157,3930.096752,924866.0165
YSSZ05,Yishun,Lower Seletar,0,380,1330,980,2690,810,1100,4600,29437.6195,43432.0454,15209.76279,8453312.38
PRSZ07,Pasir Ris,Loyang East,0,0,0,0,0,910,1250,2160,43592.3311,38890.0948,4185.462898,970068.0722
PRSZ06,Pasir Ris,Loyang West,0,0,0,0,0,0,0,0,43294.8337,39888.7716,6203.002065,2114789.488
RCSZ06,Rochor,Mackenzie,0,0,0,0,0,100,0,100,29680.0182,32062.9263,1216.480631,55681.28248
GLSZ02,Geylang,Macpherson,5550,11950,5800,3190,26490,690,1790,28970,33774.3483,34399.1614,4585.78818,1263409.404
NVSZ03,Novena,Malcolm,0,0,0,0,0,700,1860,2560,28070.2584,33930.2568,5346.80972,1321089.881
MDSZ02,Mandai,Mandai East,0,0,0,0,0,0,0,0,25739.2736,45391.7648,11572.52954,7235809.441
MDSZ03,Mandai,Mandai Estate,0,0,0,0,0,1290,770,2060,27082.698,45367.4603,1633.708416,143137.9411
MDSZ01,Mandai,Mandai West,0,0,0,0,0,0,0,0,22549.0736,44455.8474,9630.62719,4387133.117
QTSZ05,Queenstown,Margaret Drive,370,900,8860,3500,13620,10,20,13650,25202.7614,31065.9731,5969.645039,1026467.393
DTSZ03,Downtown Core,Marina Centre,0,0,0,0,0,0,0,0,30938.0985,30471.8267,4047.111169,886954.8092
MESZ01,Marina East,Marina East,0,0,0,0,0,0,0,0,32344.0489,30103.2495,6470.949643,1844060.675
MPSZ05,Marine Parade,Marina East (Mp),0,0,0,0,0,0,0,0,33715.6975,30512.2476,6657.151393,1590339.796
MSSZ01,Marina South,Marina South,0,0,0,0,0,0,0,0,31595.8357,29220.1873,5267.381024,1630379.268
MPSZ03,Marine Parade,Marine Parade,3700,6730,5170,5580,21180,7030,120,28330,36263.9827,31684.2656,6019.279096,1160017.478
BMSZ01,Bukit Merah,Maritime Square,0,0,0,0,0,2380,90,2470,25805.7867,27911.4193,13737.11618,2701634.34
