SUBZONE_C,PLANNING A,SUBZONE_NA,1_AND_2_RO,3_ROOM_FLA,4_ROOM_FLA,5_ROOM_AND,TOTAL_HDB,CONDOMINIU,LANDED_PROP,TOTAL,X_COORDINA,Y_COORDINA,SHAPE_Leng,SHAPE_Area
BSSZ02,Bishan,Marymount,0,0,14690,9240,23920,4100,2880,30900,29287.5853,37383.764,6383.479273,1964134.532
PGSZ03,Punggol,Matilda,2290,3700,15960,9830,31770,5600,0,37370,35089.9853,42728.2745,5361.915964,1418284.255
DTSZ07,Downtown Core,Maxwell,0,0,0,0,0,0,0,0,29392.0478,29096.7539,1419.801857,63664.96677
QTSZ06,Queenstown,Mei Chin,1940,5610,2890,2820,13260,2810,220,16290,24651.0693,30651.134,3580.442857,748683.9959
WDSZ02,Woodlands,Midview,980,1090,15630,18100,35810,0,0,35810,23349.76,46841.1143,4159.20144,936415.5261
NTSZ05,Newton,Monk's Hill,0,0,0,0,0,960,0,960,28922.8456,32259.7856,2446.733416,171720.6207
NVSZ02,Novena,Moulmein,0,0,180,0,180,7050,1240,8470,29057.4415,33323.9221,5388.741938,1347456.011
RCSZ07,Rochor,Mount Emily,0,0,0,0,0,1070,60,1130,29583.2555,31639.481,2301.2303,193992.3453
NVSZ05,Novena,Mount Pleasant,0,0,0,0,0,0,660,660,27515.3125,35112.6183,7234.110745,3142950.108
MPSZ01,Marine Parade,Mountbatten,0,0,0,0,0,5160,5100,10260,34449.7044,31557.7446,5430.267061,1713623.005
TNSZ01,Tanglin,Nassim,0,0,0,0,0,7040,1570,8610,27002.6928,32905.576,6241.332877,2096085.23
QTSZ11,Queenstown,National University Of S'pore,0,0,0,0,0,0,0,0,21688.9243,30930.1213,5625.416891,1755950.439
BPSZ07,Bukit Panjang,Nature Reserve,0,0,0,0,0,3260,550,3810,21822.6273,37285.2615,9051.909119,4141322.431
YSSZ07,Yishun,Nee Soon,0,0,0,0,0,430,460,890,25921.7245,43261.5225,7074.070778,2206695.555
NTSZ03,Newton,Newton Circus,0,0,0,0,0,210,10,220,28587.1626,32653.9428,2399.4073,213581.642
WDSZ09,Woodlands,North Coast,160,5700,6000,2300,14160,0,0,14160,22147.036,48031.5522,10847.88198,2450783.607
NESZ01,North-Eastern Islands,North-Eastern Islands,0,0,0,0,0,0,0,0,50424.7923,42612.8784,62436.23535,67250562.96
YSSZ02,Yishun,Northland,680,7090,16530,6130,30420,0,0,30420,28520.5814,46642.7243,5057.119921,1511000.363
PGSZ01,Punggol,Northshore,0,0,0,0,0,0,290,290,36169.5574,44222.7655,5355.637118,1360000.631
QTSZ08,Queenstown,One North,0,0,0,0,0,510,60,570,23299.2437,31176.1605,6591.907914,2051652.622
RVSZ01,River Valley,One Tree Hill,0,0,0,0,0,1320,530,1850,27315.5592,31563.7968,2464.413094,340743.3416
NTSZ01,Newton,Orange Grove,0,0,0,0,0,1440,0,1440,27668.1841,32484.764,2476.246298,336221.4941
RVSZ04,River Valley,Oxley,0,0,0,0,0,1240,140,1380,28802.3555,31053.6717,1989.487026,200052.6848
CLSZ09,Clementi,Pandan,0,0,0,0,0,0,0,0,19228.6033,32265.401,5689.646944,1312922.681
SKSZ04,Sungei Kadut,Pang Sua,0,0,0,0,0,0,0,0,18535.5677,43826.0836,7561.990107,2175380.058
QTSZ13,Queenstown,Pasir Panjang 1,0,0,0,0,0,2600,1420,4020,22077.3383,29893.7812,6571.323082,1084792.321
QTSZ14,Queenstown,Pasir Panjang 2,0,0,0,0,0,1640,1740,3380,23692.6385,28894.4099,5797.231319,853206.5717
PRSZ03,Pasir Ris,Pasir Ris Central,450,810,6610,14250,22120,5440,390,27950,40755.9017,39341.7477,5273.239002,1511487.384
PRSZ05,Pasir Ris,Pasir Ris Drive,870,0,23700,31810,56380,1750,0,58130,42032.458,38988.2187,5311.060366,1639669.017
PRSZ04,Pasir Ris,Pasir Ris Park,0,0,0,0,0,4590,250,4840,41529.798,40218.9437,8533.963998,1719704.595
PRSZ01,Pasir Ris,Pasir Ris Wafer Fab Park,0,0,0,0,0,0,0,0,38612.4965,41196.6819,10606.6469,5325421.575
PRSZ02,Pasir Ris,Pasir Ris West,0,0,10770,18330,29100,4370,2140,35610,39851.4092,40140.2237,5128.49489,1583440.164
RVSZ02,River Valley,Paterson,0,0,0,0,0,170,10,180,27809.3171,31511.3733,1753.92708,173121.7736
PLSZ02,Paya Lebar,Paya Lebar East,0,0,0,0,0,0,0,0,38065.4483,37522.396,7470.111952,2259239.74
PLSZ01,Paya Lebar,Paya Lebar North,0,0,0,0,0,0,0,0,38291.9788,39463.3319,4812.862905,1287387.263
PLSZ03,Paya Lebar,Paya Lebar West,0,0,0,0,0,0,0,0,36649.3106,39403.4873,5898.475695,609894.668
OTSZ01,Outram,Pearl's Hill,5290,1190,280,20,6780,1030,0,7810,28679.0634,29782.0519,3506.107376,559816.2454
TPSZ06,Toa Payoh,Pei Chun,480,5710,2970,2200,11370,0,0,11370,30814.3282,35440.9703,2901.789416,411403.9371
CKSZ04,Choa Chu Kang,Peng Siang,420,670,20440,12520,34050,0,0,34050,17462.292,40146.4113,4555.057953,862737.0908
JESZ10,Jurong East,Penjuru Crescent,0,0,0,0,0,0,0,0,17651.309,31799.6102,9876.049092,3049720.082
OTSZ02,Outram,People's Park,0,0,0,0,0,330,0,330,28831.7807,29419.6457,1822.192718,93140.43764
DTSZ04,Downtown Core,Phillip,0,0,0,0,0,0,0,0,29706.7242,29744.9079,871.5548878,39437.93527
PNSZ05,Pioneer,Pioneer Sector,0,0,0,0,0,0,0,0,8872.7501,31423.4434,8489.982578,2796006.828
PLSZ05,Paya Lebar,Plab,0,0,0,0,0,0,0,0,36691.9113,37730.7232,11966.01676,7034806.472
QTSZ15,Queenstown,Port,0,0,0,0,0,0,100,100,21576.0765,28788.2172,23438.81854,7601893.995
TPSZ09,Toa Payoh,Potong Pasir,0,5330,4000,1170,10500,1770,60,12330,31596.799,35028.1043,3496.881664,639143.5594
SLSZ02,Seletar,Pulau Punggol Barat,0,0,0,0,0,0,0,0,33050.0976,45213.5347,6251.207796,2050051.225
SLSZ03,Seletar,Pulau Punggol Timor,0,0,0,0,0,0,0,0,34428.8491,44535.8977,4817.803706,1259743.113
SMSZ04,Simpang,Pulau Seletar,0,0,0,0,0,0,0,0,31511.014,47245.3329,5466.048269,1611278.675
PGSZ06,Punggol,Punggol Canal,0,0,0,0,0,0,0,0,37408.8422,43168.5702,6279.464843,1265919.304
PGSZ04,Punggol,Punggol Field,210,130,13180,29240,42760,2220,0,44980,36673.8994,41847.0902,5229.116114,1378710.536
PGSZ02,Punggol,Punggol Town Centre,0,1540,8040,2060,11640,0,0,11640,35602.3777,43427.511,4896.767508,1264384.789
QTSZ07,Queenstown,Queensway,0,0,0,0,0,250,30,280,24168.3106,30104.1768,3454.239283,631644.2893
DTSZ05,Downtown Core,Raffles Place,0,0,0,0,0,0,0,0,29968.6175,29572.7618,1872.752161,188767.4897
BMSZ03,Bukit Merah,Redhill,2150,2350,3220,3380,11090,850,0,11940,26201.958,30005.7035,2825.594099,387429.44
SKSZ05,Sungei Kadut,Reservoir View,0,0,0,0,0,0,0,0,18367.171,45940.4868,10399.42448,3284130.42
TNSZ03,Tanglin,Ridout,0,0,0,0,0,550,770,1320,25568.3077,31752.6686,6450.972879,1951865.755
SESZ02,Sengkang,Rivervale,1750,910,21500,29080,53240,7720,260,61220,35977.6113,41060.8024,6315.954417,1569034.784
SRSZ01,Singapore River,Robertson Quay,0,0,0,0,0,2540,0,2540,28416.8477,30409.3607,4995.758114,506588.9598
RCSZ04,Rochor,Rochor Canal,0,0,0,0,0,0,0,0,30693.783,31819.1316,1686.009453,120171.3212
JWSZ07,Jurong West,Safti,0,0,0,0,0,0,0,0,11290.2674,35199.6704,5137.717772,1524551.335
BLSZ03,Boon Lay,Samulun,0,0,0,0,0,0,0,0,13418.4922,32264.5933,8738.679385,1940693.424
BPSZ02,Bukit Panjang,Saujana,270,660,10770,12830,24520,1880,0,26400,20536.7145,40906.6531,3686.690567,674992.0009
RCSZ08,Rochor,Selegie,0,0,0,0,0,210,30,240,29817.3304,31611.0039,1478.04997,49626.01833
SLSZ04,Seletar,Seletar,0,0,0,0,0,0,230,230,33371.5499,43425.0895,8487.274476,3916069.337
SLSZ01,Seletar,Seletar Aerospace Park,0,0,0,0,0,0,0,0,31690.73,43796.9117,8946.560465,3621841.183
SGSZ01,Serangoon,Seletar Hills,0,0,0,0,0,1740,12030,13770,31676.9626,40603.1989,6498.651071,2330683.264
WISZ02,Western Islands,Semakau,0,0,0,0,0,0,0,0,21206.3338,20465.8075,18703.68114,4963787.104
SBSZ03,Sembawang,Sembawang Central,0,0,11010,17460,28470,190,0,28660,26268.7326,47558.0804,3955.117637,962437.4031
SBSZ01,Sembawang,Sembawang East,0,0,0,0,0,0,0,0,27788.9403,47682.832,3494.973413,758123.4599
AMSZ07,Ang Mo Kio,Sembawang Hills,0,0,0,0,0,170,6660,6830,27715.9236,39634.529,4326.111274,894516.0758
SBSZ04,Sembawang,Sembawang North,1030,260,12160,13650,27100,0,0,27100,26038.8084,48732.9057,5519.934845,1394865.684
SBSZ02,Sembawang,Sembawang Springs,0,0,0,0,0,2660,2020,4680,27076.8118,46959.0886,4212.042247,1099394.72
SBSZ06,Sembawang,Sembawang Straits,0,0,0,0,0,20,1730,1750,28352.4774,48918.2749,7217.388372,1540733.675
SESZ03,Sengkang,Sengkang Town Centre,170,790,21240,30850,53060,2200,240,55500,35163.812,41501.1418,5216.400502,1455507.859
SESZ07,Sengkang,Sengkang West,0,0,0,0,0,0,0,0,31319.9431,41936.6786,5991.020008,1670029.856
BPSZ01,Bukit Panjang,Senja,1750,580,9870,8640,20840,0,0,20840,19897.9466,40895.3637,3836.254229,624877.5001
TPSZ11,Toa Payoh,Sennett,0,0,0,0,0,260,4090,4350,32485.4898,35050.1965,3836.105793,867750.4373
SBSZ08,Sembawang,Senoko North,0,0,0,0,0,0,0,0,24665.7878,49482.5953,7392.128851,2241386.619
SBSZ09,Sembawang,Senoko South,0,0,0,0,0,0,0,0,25130.655,48346.0326,5262.562765,1741957.363
WDSZ08,Woodlands,Senoko West,0,0,0,0,0,0,0,0,23921.5512,48088.741,3966.740969,905921.1179
SISZ01,Southern Islands,Sentosa,0,0,0,0,0,1010,570,1580,27593.9393,25813.3546,17496.19374,4919132.37
SGSZ06,Serangoon,Serangoon Central,0,4220,11500,5170,20890,3840,1220,25950,32157.3746,37148.607,4784.623169,1061889.353
SGSZ04,Serangoon,Serangoon Garden,840,5060,10950,4300,21140,1960,14940,38040,31710.8227,38310.2243,6972.419094,3023148.981
SGSZ03,Serangoon,Serangoon North,0,0,6810,10220,17030,0,0,17030,32458.8031,39597.6401,3610.732408,684704.3005
SGSZ02,Serangoon,Serangoon North Ind Estate,0,0,0,0,0,0,0,0,31498.8784,39642.2223,4299.211199,921430.9488
AMSZ05,Ang Mo Kio,Shangri-La,3250,7290,5070,1640,17250,0,300,17550,28564.7156,38888.9209,4019.229526,687930.097
BLSZ04,Boon Lay,Shipyard,0,0,0,0,0,0,0,0,11970.1428,32202.3854,6422.042112,2118499.409
BDSZ07,Bedok,Siglap,0,0,0,0,0,6690,0,6690,38435.4679,32101.8812,5436.890533,1097833.703
TMSZ04,Tampines,Simei,0,190,12520,12380,25080,12440,4060,41580,41431.0631,35870.7852,7402.560779,2778635.655
SMSZ01,Simpang,Simpang North,0,0,0,0,0,0,0,0,29388.7139,47645.2768,9071.752449,3450455.359
SMSZ03,Simpang,Simpang South,0,0,0,0,0,0,0,0,30567.8998,46241.4969,7166.913662,2147082.067
BMSZ05,Bukit Merah,Singapore General Hospital,0,0,0,0,0,0,0,0,28147.221,29131.0368,2915.282048,533017.3907
QTSZ09,Queenstown,Singapore Polytechnic,0,0,0,0,0,0,0,0,21751.751,32627.8947,4666.970068,946651.4186
ORSZ03,Orchard,Somerset,0,0,0,0,0,0,0,0,28626.5611,31494.9048,3039.805232,329437.9332
SISZ02,Southern Islands,Southern Group,0,0,0,0,0,0,0,0,29815.09,23412.5866,25626.97719,2206319.456
YSSZ06,Yishun,Springleaf,0,0,0,0,0,90,3870,3960,26969.7232,42586.216,6912.80078,2209210.705
SVSZ01,Straits View,Straits View,0,0,0,0,0,0,0,0,30832.9017,28194.0843,5277.760827,1127297.237
WISZ03,Western Islands,Sudong,0,0,0,0,0,0,0,0,15931.7586,19579.069,24759.0658,4207271.094
RCSZ03,Rochor,Sungei Road,770,1110,400,40,2310,0,0,2310,30601.3445,32003.1028,1727.963503,116329.9966
CLSZ02,Clementi,Sunset Way,0,240,1230,2010,3480,1780,890,6150,20805.3131,34279.4521,4572.130496,964682.6793
BTSZ02,Bukit Timah,Swiss Club,0,0,0,0,0,2070,3460,5530,23436.2688,35866.3679,8976.744053,3467036.985
AMSZ08,Ang Mo Kio,Tagore,0,0,0,0,0,2620,5540,8160,27445.7713,40971.4244,8162.600174,3334192.442
HGSZ08,Hougang,Tai Seng,1490,580,4910,2420,9390,540,4110,14040,34043.0454,36213.0116,6396.628384,1796058.935
JWSZ04,Jurong West,Taman Jurong,1860,5180,12690,12170,31900,4610,730,37240,15522.0362,35189.1395,6583.694096,1484296.473
TMSZ02,Tampines,Tampines East,3750,24550,53750,49560,131610,5450,0,137060,41122.547,37392.389,10180.62409,4339824.136
TMSZ01,Tampines,Tampines North,0,0,0,0,0,0,0,0,39763.9423,38698.1692,7128.355391,2543106.634
TMSZ03,Tampines,Tampines West,1170,9780,35530,25070,71550,5910,0,77460,39421.6571,36739.2069,8058.33566,3475209.889
ORSZ01,Orchard,Tanglin,0,0,0,0,0,410,0,410,27162.8757,31905.7324,1864.488665,167537.0654
QTSZ04,Queenstown,Tanglin Halt,1730,7440,3110,590,12860,0,0,12860,23925.4408,31512.7857,3556.229094,503220.7514
SMSZ02,Simpang,Tanjong Irau,0,0,0,0,0,0,0,0,29959.6312,48428.1734,4322.195234,1074375.121
DTSZ09,Downtown Core,Tanjong Pagar,0,0,0,0,0,460,0,460,29397.831,28706.3515,1787.710451,145518.6639
KLSZ05,Kallang,Tanjong Rhu,560,2050,450,930,3990,7100,10,11100,32740.1208,31438.3084,6515.758575,2434594.029
JESZ08,Jurong East,Teban Gardens,210,5030,9340,5200,19780,0,0,19780,17965.7225,33016.3403,8204.29735,3187584.075
CKSZ01,Choa Chu Kang,Teck Whye,1950,4170,11480,8740,26340,230,0,26570,19269.9942,40394.105,4531.981456,1001591.786
BMSZ13,Bukit Merah,Telok Blangah Drive,1470,4670,5610,3790,15540,400,30,15970,25280.2612,28791.4606,5317.781684,1454827.646
BMSZ15,Bukit Merah,Telok Blangah Rise,970,4500,5830,1220,12520,740,180,13440,27029.9638,28501.6649,3713.838181,533671.2531
BMSZ14,Bukit Merah,Telok Blangah Way,2250,4890,1710,1580,10420,0,0,10420,26570.5173,28871.8922,2290.227262,276826.8125
THSZ01,Tengah,Tengah,0,0,0,0,0,0,0,0,16363.1893,38432.5474,12808.87653,7370557.682
TSSZ01,Tuas,Tengeh,0,0,0,0,0,0,0,0,7798.1677,35535.6127,9918.46418,2251155.704
SBSZ07,Sembawang,The Wharves,0,0,0,0,0,0,0,0,26945.068,49552.7904,11828.87772,1635808.129
BMSZ10,Bukit Merah,Tiong Bahru,340,3000,6410,2730,12470,240,10,12720,27785.672,29590.3951,3303.2149,448127.5844
BMSZ04,Bukit Merah,Tiong Bahru Station,1870,800,7460,4860,14990,1340,0,16330,27277.4698,29607.0237,2506.687919,350787.5614
TPSZ02,Toa Payoh,Toa Payoh Central,2880,5230,11670,8280,28060,2010,0,30070,29409.7438,34982.1962,5201.968752,1107267.036
TPSZ01,Toa Payoh,Toa Payoh West,230,7300,940,580,11900,870,0,12770,28943.1923,35787.3478,4516.839966,1037281.094
JESZ03,Jurong East,Toh Guan,0,660,5930,9580,16170,0,0,16170,18294.1774,35518.17,4462.314412,746882.3023
CLSZ01,Clementi,Toh Tuck,0,0,0,0,0,0,0,0,19433.1204,34884.2481,6119.883497,2077796.547
AMSZ04,Ang Mo Kio,Townsville,1570,7160,10380,4110,23220,0,0,23220,29686.468,38599.4995,3313.317413,546403.8635
HGSZ05,Hougang,Trafalgar,1790,890,17360,17160,37190,2910,1400,41500,33351.5218,40336.7975,6199.267491,1744387.407
TSSZ04,Tuas,Tuas Bay,0,0,0,0,0,0,0,0,6921.1588,33401.4189,10583.71113,3203306.037
TSSZ03,Tuas,Tuas North,0,0,0,0,0,0,0,0,7737.0329,34331.0851,7702.824948,3260150.857
TSSZ02,Tuas,Tuas Promenade,0,0,0,0,0,0,0,0,5918.9956,34910.5821,13318.7734,3188097.306
TSSZ05,Tuas,Tuas View,0,0,0,0,0,0,0,0,5753.6337,31501.4549,11013.62449,5675810.846
TSSZ06,Tuas,Tuas View Extension,0,0,0,0,0,0,0,0,5092.8949,26137.8735,54928.09387,27710950.08
BLSZ01,Boon Lay,Tukang,0,0,0,0,0,0,0,0,14192.4654,34209.5506,6899.999456,1881305.829
SKSZ02,Sungei Kadut,Turf Club,0,0,0,0,0,0,670,670,20234.6006,44507.1901,7665.676019,3291405.506
TNSZ04,Tanglin,Tyersall,0,40,210,250,490,2220,840,3550,25732.6536,32985.8494,6430.986147,2158289.716
BTSZ04,Bukit Timah,Ulu Pandan,0,0,0,0,0,7640,2980,10620,22210.5093,33177.2208,6626.667183,1228487.734
SGSZ07,Serangoon,Upper Paya Lebar,360,1620,5120,2700,9800,3190,2940,15930,32866.5229,36522.0741,4658.999428,898561.2996
BSSZ01,Bishan,Upper Thomson,860,3300,4290,4530,12980,9090,7840,29910,27884.6872,37749.3937,10082.0753,3860324.994
RCSZ10,Rochor,Victoria,0,1200,570,50,1810,160,0,1970,30189.2101,31335.7252,2093.770233,214250.2981
PGSZ05,Punggol,Waterway East,2940,3690,19930,7640,34200,1660,0,35860,37063.2238,42568.2237,5391.065107,1489246.883
JWSZ01,Jurong West,Wenya,0,0,3360,5220,8580,0,0,8580,13953.5271,37532.7209,5864.592818,1974943.245
CLSZ05,Clementi,West Coast,0,0,0,0,0,4040,1940,5980,19293.7625,33172.6228,3644.131828,722588.6837
WCSZ01,Western Water Catchment,Western Water Catchment,0,0,0,0,0,0,0,0,12020.342,40454.871,44305.66057,69748298.79
WDSZ05,Woodlands,Woodgrove,180,2050,13650,14250,30140,4850,600,35590,21905.2849,45668.0411,6284.599725,1665469.26
WDSZ03,Woodlands,Woodlands East,760,660,46650,42130,90200,4060,0,94260,24506.6375,46991.63,6603.608301,2553463.724
WDSZ01,Woodlands,Woodlands Regional Centre,0,0,0,0,0,0,0,0,22571.2094,46698.8735,3254.343275,595652.1439
WDSZ04,Woodlands,Woodlands South,1780,590,12820,18910,34100,2290,0,36390,23609.573,45692.8785,5211.384435,1576001.476
WDSZ06,Woodlands,Woodlands West,3740,8930,11060,8770,32500,0,0,32500,21582.5903,46573.0249,5929.644687,1648629.909
TPSZ08,Toa Payoh,Woodleigh,0,0,0,0,0,2080,260,2340,31670.4785,35799.9019,3778.890574,813382.9814
TMSZ05,Tampines,Xilin,0,0,0,0,0,1330,470,1800,43110.6141,34607.3132,12926.04699,7833992.845
CKSZ06,Choa Chu Kang,Yew Tee,0,0,16680,21660,38340,4790,0,43130,18498.1139,42506.0743,3715.39423,923214.7487
AMSZ10,Ang Mo Kio,Yio Chu Kang,0,0,0,0,0,0,0,0,29443.7447,40836.0207,4533.218364,909418.5677
AMSZ12,Ang Mo Kio,Yio Chu Kang East,0,0,0,0,0,1620,2300,3920,30234.3682,40602.6508,5592.191081,1861872.042
AMSZ11,Ang Mo Kio,Yio Chu Kang North,0,0,0,0,0,0,0,0,29505.9877,41733.4401,6445.242982,1463278.179
AMSZ09,Ang Mo Kio,Yio Chu Kang West,3190,8020,5440,3350,20000,5750,460,26210,28750.4979,40360.6262,3707.005727,846137.1973
YSSZ01,Yishun,Yishun Central,0,0,800,650,1460,0,0,1460,28483.0705,45383.3344,2549.643182,436368.5338
YSSZ03,Yishun,Yishun East,2760,6770,31950,13080,54570,2170,0,56740,29476.5995,45515.7196,5945.704099,1767092.896
YSSZ04,Yishun,Yishun South,0,3650,19250,12520,35420,2520,0,37940,28500.5467,44471.6735,5781.588051,1340167.988
YSSZ09,Yishun,Yishun West,1480,20070,24720,6390,52660,5550,0,58210,27743.2668,45873.6006,5318.579266,1517767.389
JESZ02,Jurong East,Yuhua East,0,8780,7400,7730,23920,2820,0,26740,17485.1754,35841.78,4018.421017,924762.4774
JESZ01,Jurong East,Yuhua West,1930,4070,5510,5930,17450,3040,0,20490,16721.2525,36571.2646,3817.521072,776142.4925
JWSZ08,Jurong West,Yunnan,220,2420,33250,27890,63780,2400,3730,69910,12593.1412,36299.9335,7192.208675,2206305.009
